image_id condition group n_subj n_yes item_type distinct_rating distinct_type prop_yes resp_type HS_preds
3 0 1 18 4 0 3.17 0 0.2368421052631578 0 0.5360095656672379
3 0 2 14 8 1 3.17 0 0.5666666666666667 1 0.6889052156655937
4 0 1 18 8 0 3.18 0 0.4473684210526316 0 0.5168007770122743
4 0 2 14 7 1 3.18 0 0.5 1 0.6774436752657517
6 0 1 18 17 1 3.17 0 0.9210526315789472 1 0.7013593744258225
6 0 2 14 6 0 3.17 0 0.4333333333333333 0 0.5087696945192952
8 0 1 18 15 1 1.95 0 0.8157894736842105 1 0.7508660794280061
8 0 2 14 8 0 1.95 0 0.5666666666666667 0 0.5736097483121699
9 0 1 18 12 0 2.49 0 0.6578947368421053 0 0.65334988348616
9 0 2 14 13 1 2.49 0 0.9 1 0.7000310317346886
10 0 1 18 12 1 3.15 0 0.6578947368421053 1 0.7014733268312212
10 0 2 14 6 0 3.15 0 0.4333333333333333 0 0.4633502471455702
17 0 1 18 15 1 1.92 0 0.8157894736842105 1 0.7499416364292257
17 0 2 14 10 0 1.92 0 0.7 0 0.6246541186093857
18 0 1 18 14 1 1.84 0 0.7631578947368421 1 0.7492700792510885
18 0 2 14 9 0 1.84 0 0.6333333333333333 0 0.6325515756560938
24 0 1 18 3 0 2.31 0 0.1842105263157894 0 0.5508115782573045
24 0 2 14 6 1 2.31 0 0.4333333333333333 1 0.677532903573045
25 0 1 18 14 1 1.89 0 0.7631578947368421 1 0.7611189697835863
25 0 2 14 11 0 1.89 0 0.7666666666666667 0 0.6361084726733374
26 0 1 18 5 0 2.76 0 0.2894736842105263 0 0.5299665678062861
26 0 2 14 7 1 2.76 0 0.5 1 0.7052216227383236
29 0 1 18 5 0 2.68 0 0.2894736842105263 0 0.5125312274357976
29 0 2 14 11 1 2.68 0 0.7666666666666667 1 0.6984186335278787
33 0 1 18 11 0 2.97 0 0.6052631578947368 0 0.5885058004457777
33 0 2 14 10 1 2.97 0 0.7 1 0.6931424464483147
35 0 1 18 16 1 3.14 0 0.868421052631579 1 0.6994933472778119
35 0 2 14 11 0 3.14 0 0.7666666666666667 0 0.4961260987155002
36 0 1 18 16 1 2.98 0 0.868421052631579 1 0.69267700763411
36 0 2 14 11 0 2.98 0 0.7666666666666667 0 0.4961167011459615
37 0 1 18 16 1 3.08 0 0.868421052631579 1 0.6942029118830927
37 0 2 14 12 0 3.08 0 0.8333333333333334 0 0.439520105997207
42 0 1 18 14 0 2.84 0 0.7631578947368421 0 0.4772899231467174
42 0 2 14 11 1 2.84 0 0.7666666666666667 1 0.6584437906864319
47 0 1 18 12 0 3.05 0 0.6578947368421053 0 0.4336447482451274
47 0 2 14 12 1 3.05 0 0.8333333333333334 1 0.6754094973673361
50 0 1 18 6 0 2.73 0 0.3421052631578947 0 0.5940970231541843
50 0 2 14 8 1 2.73 0 0.5666666666666667 1 0.7088925961319141
56 0 1 18 10 1 3.02 0 0.5526315789473685 1 0.6826050654302854
56 0 2 14 8 0 3.02 0 0.5666666666666667 0 0.4607467622637222
59 0 1 18 11 1 1.99 0 0.6052631578947368 1 0.7437308694588257
59 0 2 14 4 0 1.99 0 0.3 0 0.5936098039568838
60 0 1 18 6 0 2.6 0 0.3421052631578947 0 0.60769150859563
60 0 2 14 8 1 2.6 0 0.5666666666666667 1 0.6986484640965596
62 0 1 18 7 0 2.95 0 0.3947368421052631 0 0.4071562848344773
62 0 2 14 8 1 2.95 0 0.5666666666666667 1 0.6664526238660751
64 0 1 18 8 1 2.52 0 0.4473684210526316 1 0.6343408838423364
64 0 2 14 6 0 2.52 0 0.4333333333333333 0 0.5582330614612524
85 0 1 18 14 1 7.32 1 0.7631578947368421 1 0.6798820802722079
85 0 2 14 1 0 7.32 1 0.1 0 0.1404688498160022
86 0 1 18 2 0 8.01 1 0.131578947368421 0 0.0770041065163398
86 0 2 14 11 1 8.01 1 0.7666666666666667 1 0.7244146225063517
99 0 1 18 1 0 7.24 1 0.0789473684210526 0 0.1426459049902652
99 0 2 14 9 1 7.24 1 0.6333333333333333 1 0.7118877181963245
106 0 1 18 10 1 7.66 1 0.5526315789473685 1 0.6872668105963267
106 0 2 14 1 0 7.66 1 0.1 0 0.168978280720265
107 0 1 18 4 0 7.11 1 0.2368421052631578 0 0.102925497613469
