trial_index subject_id group condition task item_type category image_id distinct_rating distinct_type good_subj
1 1038 2 0 0 0 9 129 3.25 0 1
2 1038 2 0 0 0 6 86 8.01 1 1
3 1038 2 0 0 0 10 154 2.88 0 1
4 1038 2 0 0 0 13 207 3.11 0 1
5 1038 2 0 0 0 25 400 1.71 0 1
6 1038 2 0 0 0 28 445 7.58 1 1
7 1038 2 0 0 0 3 42 2.84 0 1
8 1038 2 0 0 0 15 238 3.31 0 1
9 1038 2 0 0 0 4 60 2.6 0 1
10 1038 2 0 0 0 30 467 1.95 0 1
11 1038 2 0 0 0 18 287 2.19 0 1
12 1038 2 0 0 0 9 141 3.12 0 1
13 1038 2 0 0 0 9 142 3.22 0 1
14 1038 2 0 0 0 28 447 7.79 1 1
15 1038 2 0 0 0 18 279 1.97 0 1
16 1038 2 0 0 0 2 26 2.76 0 1
17 1038 2 0 0 0 3 33 2.97 0 1
18 1038 2 0 0 0 2 24 2.31 0 1
19 1038 2 0 0 0 29 452 1.8 0 1
20 1038 2 0 0 0 17 269 2.8 0 1
21 1038 2 0 0 0 23 365 6.57 1 1
22 1038 2 0 0 0 25 385 1.43 0 1
23 1038 2 0 0 0 4 50 2.73 0 1
24 1038 2 0 0 0 20 308 2.2 0 1
25 1038 2 0 0 0 1 4 3.18 0 1
26 1038 2 0 0 0 24 382 6.86 1 1
27 1038 2 0 0 0 8 125 7.28 1 1
28 1038 2 0 0 0 3 47 3.05 0 1
29 1038 2 0 0 0 15 226 3.2 0 1
30 1038 2 0 0 0 7 107 7.11 1 1
31 1038 2 0 0 0 30 471 2.73 0 1
32 1038 2 0 0 0 4 62 2.95 0 1
33 1038 2 0 0 0 1 9 2.49 0 1
34 1038 2 0 0 0 29 459 1.82 0 1
35 1038 2 0 0 0 7 99 7.24 1 1
36 1038 2 0 0 0 1 3 3.17 0 1
37 1038 2 0 0 0 13 206 3.41 0 1
38 1038 2 0 0 0 18 284 1.92 0 1
39 1038 2 0 0 0 10 152 1.38 0 1
40 1038 2 0 0 0 20 318 2.58 0 1
41 1038 2 0 0 0 29 456 1.5 0 1
42 1038 2 0 0 0 17 258 2.89 0 1
43 1038 2 0 0 0 13 202 3.09 0 1
44 1038 2 0 0 0 17 261 2.14 0 1
45 1038 2 0 0 0 25 391 1.73 0 1
46 1038 2 0 0 0 20 314 1.94 0 1
47 1038 2 0 0 0 30 466 2.9 0 1
48 1038 2 0 0 0 10 149 3.02 0 1
49 1038 2 0 0 0 15 227 2.67 0 1
50 1038 2 0 0 0 2 29 2.68 0 1
1 1042 2 0 0 0 25 400 1.71 0 1
2 1042 2 0 0 0 15 226 3.2 0 1
3 1042 2 0 0 0 15 238 3.31 0 1
4 1042 2 0 0 0 24 382 6.86 1 1
5 1042 2 0 0 0 20 308 2.2 0 1
6 1042 2 0 0 0 2 26 2.76 0 1
7 1042 2 0 0 0 7 107 7.11 1 1
8 1042 2 0 0 0 2 24 2.31 0 1
9 1042 2 0 0 0 2 29 2.68 0 1
10 1042 2 0 0 0 1 9 2.49 0 1
11 1042 2 0 0 0 20 314 1.94 0 1
12 1042 2 0 0 0 17 261 2.14 0 1
13 1042 2 0 0 0 4 50 2.73 0 1
14 1042 2 0 0 0 23 365 6.57 1 1
15 1042 2 0 0 0 17 269 2.8 0 1
16 1042 2 0 0 0 29 456 1.5 0 1
17 1042 2 0 0 0 30 466 2.9 0 1
18 1042 2 0 0 0 10 152 1.38 0 1
19 1042 2 0 0 0 4 62 2.95 0 1
20 1042 2 0 0 0 1 4 3.18 0 1
21 1042 2 0 0 0 7 99 7.24 1 1
22 1042 2 0 0 0 3 42 2.84 0 1
23 1042 2 0 0 0 4 60 2.6 0 1
24 1042 2 0 0 0 28 445 7.58 1 1
25 1042 2 0 0 0 17 258 2.89 0 1
26 1042 2 0 0 0 1 3 3.17 0 1
27 1042 2 0 0 0 8 125 7.28 1 1
28 1042 2 0 0 0 10 154 2.88 0 1
29 1042 2 0 0 0 9 129 3.25 0 1
30 1042 2 0 0 0 28 447 7.79 1 1
31 1042 2 0 0 0 9 142 3.22 0 1
32 1042 2 0 0 0 9 141 3.12 0 1
33 1042 2 0 0 0 15 227 2.67 0 1
34 1042 2 0 0 0 30 471 2.73 0 1
35 1042 2 0 0 0 18 287 2.19 0 1
36 1042 2 0 0 0 29 452 1.8 0 1
37 1042 2 0 0 0 10 149 3.02 0 1
38 1042 2 0 0 0 25 391 1.73 0 1
39 1042 2 0 0 0 30 467 1.95 0 1
40 1042 2 0 0 0 13 207 3.11 0 1
41 1042 2 0 0 0 20 318 2.58 0 1
42 1042 2 0 0 0 18 279 1.97 0 1
43 1042 2 0 0 0 25 385 1.43 0 1
44 1042 2 0 0 0 13 206 3.41 0 1
45 1042 2 0 0 0 6 86 8.01 1 1
46 1042 2 0 0 0 29 459 1.82 0 1
47 1042 2 0 0 0 18 284 1.92 0 1
48 1042 2 0 0 0 3 47 3.05 0 1
49 1042 2 0 0 0 3 33 2.97 0 1
50 1042 2 0 0 0 13 202 3.09 0 1
1 1039 2 0 0 0 9 141 3.12 0 1
2 1039 2 0 0 0 10 152 1.38 0 1
3 1039 2 0 0 0 4 60 2.6 0 1
4 1039 2 0 0 0 3 47 3.05 0 1
5 1039 2 0 0 0 10 154 2.88 0 1
6 1039 2 0 0 0 17 258 2.89 0 1
7 1039 2 0 0 0 3 42 2.84 0 1
8 1039 2 0 0 0 15 238 3.31 0 1
9 1039 2 0 0 0 30 467 1.95 0 1
10 1039 2 0 0 0 9 129 3.25 0 1
11 1039 2 0 0 0 24 382 6.86 1 1
12 1039 2 0 0 0 29 456 1.5 0 1
13 1039 2 0 0 0 13 202 3.09 0 1
14 1039 2 0 0 0 3 33 2.97 0 1
15 1039 2 0 0 0 10 149 3.02 0 1
16 1039 2 0 0 0 15 226 3.2 0 1
17 1039 2 0 0 0 2 24 2.31 0 1
18 1039 2 0 0 0 13 207 3.11 0 1
19 1039 2 0 0 0 18 279 1.97 0 1
20 1039 2 0 0 0 29 452 1.8 0 1
21 1039 2 0 0 0 17 269 2.8 0 1
22 1039 2 0 0 0 2 29 2.68 0 1
23 1039 2 0 0 0 25 400 1.71 0 1
24 1039 2 0 0 0 13 206 3.41 0 1
25 1039 2 0 0 0 23 365 6.57 1 1
26 1039 2 0 0 0 4 50 2.73 0 1
27 1039 2 0 0 0 1 9 2.49 0 1
28 1039 2 0 0 0 1 3 3.17 0 1
29 1039 2 0 0 0 29 459 1.82 0 1
30 1039 2 0 0 0 28 445 7.58 1 1
31 1039 2 0 0 0 7 107 7.11 1 1
32 1039 2 0 0 0 6 86 8.01 1 1
33 1039 2 0 0 0 1 4 3.18 0 1
34 1039 2 0 0 0 20 318 2.58 0 1
35 1039 2 0 0 0 4 62 2.95 0 1
36 1039 2 0 0 0 18 287 2.19 0 1
37 1039 2 0 0 0 20 314 1.94 0 1
38 1039 2 0 0 0 25 385 1.43 0 1
39 1039 2 0 0 0 8 125 7.28 1 1
40 1039 2 0 0 0 18 284 1.92 0 1
41 1039 2 0 0 0 2 26 2.76 0 1
42 1039 2 0 0 0 15 227 2.67 0 1
43 1039 2 0 0 0 30 466 2.9 0 1
44 1039 2 0 0 0 7 99 7.24 1 1
45 1039 2 0 0 0 25 391 1.73 0 1
46 1039 2 0 0 0 17 261 2.14 0 1
47 1039 2 0 0 0 9 142 3.22 0 1
48 1039 2 0 0 0 20 308 2.2 0 1
49 1039 2 0 0 0 30 471 2.73 0 1
50 1039 2 0 0 0 28 447 7.79 1 1
1 1025 2 0 0 0 1 9 2.49 0 1
2 1025 2 0 0 0 25 391 1.73 0 1
3 1025 2 0 0 0 3 42 2.84 0 1
4 1025 2 0 0 0 3 47 3.05 0 1
5 1025 2 0 0 0 1 3 3.17 0 1
6 1025 2 0 0 0 28 445 7.58 1 1
7 1025 2 0 0 0 30 471 2.73 0 1
8 1025 2 0 0 0 10 152 1.38 0 1
9 1025 2 0 0 0 7 99 7.24 1 1
10 1025 2 0 0 0 29 452 1.8 0 1
11 1025 2 0 0 0 3 33 2.97 0 1
12 1025 2 0 0 0 13 202 3.09 0 1
13 1025 2 0 0 0 6 86 8.01 1 1
14 1025 2 0 0 0 2 29 2.68 0 1
15 1025 2 0 0 0 17 269 2.8 0 1
16 1025 2 0 0 0 28 447 7.79 1 1
17 1025 2 0 0 0 23 365 6.57 1 1
18 1025 2 0 0 0 9 141 3.12 0 1
19 1025 2 0 0 0 13 206 3.41 0 1
20 1025 2 0 0 0 17 258 2.89 0 1
21 1025 2 0 0 0 25 385 1.43 0 1
22 1025 2 0 0 0 18 284 1.92 0 1
23 1025 2 0 0 0 24 382 6.86 1 1
24 1025 2 0 0 0 29 459 1.82 0 1
25 1025 2 0 0 0 20 318 2.58 0 1
26 1025 2 0 0 0 29 456 1.5 0 1
27 1025 2 0 0 0 1 4 3.18 0 1
28 1025 2 0 0 0 4 50 2.73 0 1
29 1025 2 0 0 0 18 279 1.97 0 1
30 1025 2 0 0 0 30 466 2.9 0 1
31 1025 2 0 0 0 13 207 3.11 0 1
32 1025 2 0 0 0 15 238 3.31 0 1
33 1025 2 0 0 0 4 62 2.95 0 1
34 1025 2 0 0 0 10 149 3.02 0 1
35 1025 2 0 0 0 15 226 3.2 0 1
36 1025 2 0 0 0 8 125 7.28 1 1
37 1025 2 0 0 0 15 227 2.67 0 1
38 1025 2 0 0 0 30 467 1.95 0 1
39 1025 2 0 0 0 2 24 2.31 0 1
40 1025 2 0 0 0 20 314 1.94 0 1
41 1025 2 0 0 0 10 154 2.88 0 1
42 1025 2 0 0 0 18 287 2.19 0 1
43 1025 2 0 0 0 25 400 1.71 0 1
44 1025 2 0 0 0 20 308 2.2 0 1
45 1025 2 0 0 0 7 107 7.11 1 1
46 1025 2 0 0 0 4 60 2.6 0 1
47 1025 2 0 0 0 9 129 3.25 0 1
48 1025 2 0 0 0 2 26 2.76 0 1
49 1025 2 0 0 0 17 261 2.14 0 1
50 1025 2 0 0 0 9 142 3.22 0 1
1 1020 2 0 0 0 15 227 2.67 0 1
2 1020 2 0 0 0 9 141 3.12 0 1
3 1020 2 0 0 0 9 142 3.22 0 1
4 1020 2 0 0 0 10 154 2.88 0 1
5 1020 2 0 0 0 29 459 1.82 0 1
6 1020 2 0 0 0 28 447 7.79 1 1
7 1020 2 0 0 0 1 3 3.17 0 1
8 1020 2 0 0 0 23 365 6.57 1 1
9 1020 2 0 0 0 9 129 3.25 0 1
10 1020 2 0 0 0 4 62 2.95 0 1
11 1020 2 0 0 0 7 107 7.11 1 1
12 1020 2 0 0 0 25 400 1.71 0 1
13 1020 2 0 0 0 28 445 7.58 1 1
14 1020 2 0 0 0 18 284 1.92 0 1
15 1020 2 0 0 0 2 24 2.31 0 1
16 1020 2 0 0 0 24 382 6.86 1 1
17 1020 2 0 0 0 13 202 3.09 0 1
18 1020 2 0 0 0 2 29 2.68 0 1
19 1020 2 0 0 0 15 238 3.31 0 1
20 1020 2 0 0 0 7 99 7.24 1 1
21 1020 2 0 0 0 8 125 7.28 1 1
22 1020 2 0 0 0 29 456 1.5 0 1
23 1020 2 0 0 0 29 452 1.8 0 1
24 1020 2 0 0 0 3 42 2.84 0 1
25 1020 2 0 0 0 15 226 3.2 0 1
26 1020 2 0 0 0 20 308 2.2 0 1
27 1020 2 0 0 0 10 152 1.38 0 1
28 1020 2 0 0 0 2 26 2.76 0 1
29 1020 2 0 0 0 17 258 2.89 0 1
30 1020 2 0 0 0 4 60 2.6 0 1
31 1020 2 0 0 0 30 471 2.73 0 1
32 1020 2 0 0 0 1 9 2.49 0 1
33 1020 2 0 0 0 3 47 3.05 0 1
34 1020 2 0 0 0 17 269 2.8 0 1
35 1020 2 0 0 0 25 391 1.73 0 1
36 1020 2 0 0 0 10 149 3.02 0 1
37 1020 2 0 0 0 3 33 2.97 0 1
38 1020 2 0 0 0 6 86 8.01 1 1
39 1020 2 0 0 0 18 279 1.97 0 1
40 1020 2 0 0 0 20 318 2.58 0 1
41 1020 2 0 0 0 25 385 1.43 0 1
42 1020 2 0 0 0 17 261 2.14 0 1
43 1020 2 0 0 0 13 206 3.41 0 1
44 1020 2 0 0 0 30 466 2.9 0 1
45 1020 2 0 0 0 1 4 3.18 0 1
46 1020 2 0 0 0 13 207 3.11 0 1
47 1020 2 0 0 0 30 467 1.95 0 1
48 1020 2 0 0 0 4 50 2.73 0 1
49 1020 2 0 0 0 20 314 1.94 0 1
50 1020 2 0 0 0 18 287 2.19 0 1
1 1036 1 0 0 0 22 347 6.7 1 1
2 1036 1 0 0 0 10 158 2.59 0 1
3 1036 1 0 0 0 17 266 2.6 0 1
4 1036 1 0 0 0 3 36 2.98 0 1
5 1036 1 0 0 0 17 263 2.59 0 1
6 1036 1 0 0 0 27 420 7.61 1 1
7 1036 1 0 0 0 15 228 3.15 0 1
8 1036 1 0 0 0 18 277 2.23 0 1
9 1036 1 0 0 0 20 307 1.87 0 1
10 1036 1 0 0 0 25 397 1.77 0 1
11 1036 1 0 0 0 20 319 2.13 0 1
12 1036 1 0 0 0 9 140 2.97 0 1
13 1036 1 0 0 0 7 112 7.03 1 1
14 1036 1 0 0 0 6 85 7.32 1 1
15 1036 1 0 0 0 29 451 1.86 0 1
16 1036 1 0 0 0 1 8 1.95 0 1
17 1036 1 0 0 0 9 139 1.74 0 1
18 1036 1 0 0 0 2 17 1.92 0 1
19 1036 1 0 0 0 18 285 2.27 0 1
20 1036 1 0 0 0 4 59 1.99 0 1
21 1036 1 0 0 0 25 398 1.43 0 1
22 1036 1 0 0 0 28 433 7.18 1 1
23 1036 1 0 0 0 20 315 2.75 0 1
24 1036 1 0 0 0 25 396 1.85 0 1
25 1036 1 0 0 0 15 240 2.57 0 1
26 1036 1 0 0 0 30 465 2.7 0 1
27 1036 1 0 0 0 29 463 2.0 0 1
28 1036 1 0 0 0 10 155 1.73 0 1
29 1036 1 0 0 0 23 362 7.17 1 1
30 1036 1 0 0 0 1 6 3.17 0 1
31 1036 1 0 0 0 3 37 3.08 0 1
32 1036 1 0 0 0 4 56 3.02 0 1
33 1036 1 0 0 0 29 464 1.93 0 1
34 1036 1 0 0 0 13 198 2.65 0 1
35 1036 1 0 0 0 30 472 2.55 0 1
36 1036 1 0 0 0 9 136 3.1 0 1
37 1036 1 0 0 0 30 476 2.48 0 1
38 1036 1 0 0 0 15 230 3.4 0 1
39 1036 1 0 0 0 4 64 2.52 0 1
40 1036 1 0 0 0 13 197 2.97 0 1
41 1036 1 0 0 0 3 35 3.14 0 1
42 1036 1 0 0 0 10 160 2.19 0 1
43 1036 1 0 0 0 2 18 1.84 0 1
44 1036 1 0 0 0 17 259 2.5 0 1
45 1036 1 0 0 0 18 280 2.15 0 1
46 1036 1 0 0 0 13 205 3.26 0 1
47 1036 1 0 0 0 24 373 7.32 1 1
48 1036 1 0 0 0 2 25 1.89 0 1
49 1036 1 0 0 0 7 106 7.66 1 1
50 1036 1 0 0 0 1 10 3.15 0 1
1 1015 2 0 0 0 23 365 6.57 1 1
2 1015 2 0 0 0 20 308 2.2 0 1
3 1015 2 0 0 0 9 141 3.12 0 1
4 1015 2 0 0 0 13 206 3.41 0 1
