image_id condition group n_subj n_yes item_type distinct_rating distinct_type prop_yes resp_type HS_preds
3 0 1 65 20 0 3.17 0 0.3106060606060606 0 0.4872225927082491
3 0 2 61 32 1 3.17 0 0.5241935483870968 1 0.6719014354737161
3 1 1 50 14 0 3.17 0 0.284313725490196 0 0.4872225927082491
3 1 2 56 28 1 3.17 0 0.5 1 0.6719014354737161
4 0 1 65 37 0 3.18 0 0.5681818181818182 0 0.4601678104673608
4 0 2 61 34 1 3.18 0 0.5564516129032258 1 0.6644308080478283
4 1 1 50 23 0 3.18 0 0.4607843137254901 0 0.4601678104673608
4 1 2 56 25 1 3.18 0 0.4473684210526316 1 0.6644308080478283
6 0 1 65 48 1 3.17 0 0.7348484848484849 1 0.6968978090754259
6 0 2 61 34 0 3.17 0 0.5564516129032258 0 0.5075332214389073
6 1 1 50 34 1 3.17 0 0.6764705882352942 1 0.6968978090754259
6 1 2 56 24 0 3.17 0 0.4298245614035088 0 0.5075332214389073
8 0 1 65 44 1 1.95 0 0.6742424242424242 1 0.7228589291677883
8 0 2 61 36 0 1.95 0 0.5887096774193549 0 0.5770124175022695
8 1 1 50 38 1 1.95 0 0.7549019607843137 1 0.7228589291677883
8 1 2 56 35 0 1.95 0 0.6228070175438597 0 0.5770124175022695
9 0 1 65 45 0 2.49 0 0.6893939393939394 0 0.6070190446333796
9 0 2 61 47 1 2.49 0 0.7661290322580645 1 0.6828732478359809
9 1 1 50 36 0 2.49 0 0.7156862745098039 0 0.6070190446333796
9 1 2 56 44 1 2.49 0 0.7807017543859649 1 0.6828732478359809
10 0 1 65 32 1 3.15 0 0.4924242424242424 1 0.6958201053901751
10 0 2 61 20 0 3.15 0 0.3306451612903225 0 0.475238015630427
10 1 1 50 30 1 3.15 0 0.5980392156862745 1 0.6958201053901751
10 1 2 56 24 0 3.15 0 0.4298245614035088 0 0.475238015630427
17 0 1 65 49 1 1.92 0 0.75 1 0.7219015188339899
17 0 2 61 39 0 1.92 0 0.6370967741935484 0 0.6248641572734343
17 1 1 50 39 1 1.92 0 0.7745098039215687 1 0.7219015188339899
17 1 2 56 40 0 1.92 0 0.7105263157894737 0 0.6248641572734343
18 0 1 65 47 1 1.84 0 0.7196969696969697 1 0.7206867407129708
18 0 2 61 32 0 1.84 0 0.5241935483870968 0 0.6281212786094217
18 1 1 50 42 1 1.84 0 0.8333333333333334 1 0.7206867407129708
18 1 2 56 38 0 1.84 0 0.6754385964912281 0 0.6281212786094217
24 0 1 65 18 0 2.31 0 0.2803030303030303 0 0.4898747381264718
24 0 2 61 31 1 2.31 0 0.5080645161290323 1 0.6590607490842543
24 1 1 50 11 0 2.31 0 0.2254901960784313 0 0.4898747381264718
24 1 2 56 36 1 2.31 0 0.6403508771929824 1 0.6590607490842543
25 0 1 65 50 1 1.89 0 0.7651515151515151 1 0.7343824987335431
25 0 2 61 34 0 1.89 0 0.5564516129032258 0 0.6325225514453082
25 1 1 50 32 1 1.89 0 0.6372549019607843 1 0.7343824987335431
25 1 2 56 32 0 1.89 0 0.5701754385964912 0 0.6325225514453082
26 0 1 65 22 0 2.76 0 0.3409090909090909 0 0.4742003926229856
26 0 2 61 40 1 2.76 0 0.6532258064516129 1 0.6877897938657286
26 1 1 50 13 0 2.76 0 0.2647058823529412 0 0.4742003926229856
26 1 2 56 30 1 2.76 0 0.5350877192982456 1 0.6877897938657286
29 0 1 65 25 0 2.68 0 0.3863636363636363 0 0.460548722523579
29 0 2 61 40 1 2.68 0 0.6532258064516129 1 0.6787183053698075
29 1 1 50 17 0 2.68 0 0.3431372549019608 0 0.460548722523579
29 1 2 56 36 1 2.68 0 0.6403508771929824 1 0.6787183053698075
33 0 1 65 42 0 2.97 0 0.6439393939393939 0 0.5459074706022593
33 0 2 61 53 1 2.97 0 0.8629032258064516 1 0.6750334699696957
33 1 1 50 33 0 2.97 0 0.6568627450980392 0 0.5459074706022593
33 1 2 56 43 1 2.97 0 0.7631578947368421 1 0.6750334699696957
35 0 1 65 58 1 3.14 0 0.8863636363636364 1 0.6952942495751635
35 0 2 61 53 0 3.14 0 0.8629032258064516 0 0.4979151759976045
35 1 1 50 45 1 3.14 0 0.8921568627450981 1 0.6952942495751635
35 1 2 56 50 0 3.14 0 0.8859649122807017 0 0.4979151759976045
36 0 1 65 48 1 2.98 0 0.7348484848484849 1 0.6845872836757265
36 0 2 61 42 0 2.98 0 0.6854838709677419 0 0.5036573263280103
36 1 1 50 39 1 2.98 0 0.7745098039215687 1 0.6845872836757265
36 1 2 56 40 0 2.98 0 0.7105263157894737 0 0.5036573263280103
37 0 1 65 58 1 3.08 0 0.8863636363636364 1 0.6878074747265934
37 0 2 61 40 0 3.08 0 0.6532258064516129 0 0.4550140373965823
37 1 1 50 38 1 3.08 0 0.7549019607843137 1 0.6878074747265934
37 1 2 56 39 0 3.08 0 0.6929824561403509 0 0.4550140373965823
42 0 1 65 39 0 2.84 0 0.5984848484848485 0 0.4196680748426977
42 0 2 61 37 1 2.84 0 0.6048387096774194 1 0.6404700772429177
42 1 1 50 24 0 2.84 0 0.4803921568627451 0 0.4196680748426977
