trial_index subject_id group condition task item_type category image_id distinct_rating distinct_type good_subj
1 169 1 0 0 0 9 136 3.1 0 0
2 169 1 0 0 0 30 476 2.48 0 0
3 169 1 0 0 0 20 319 2.13 0 0
4 169 1 0 0 0 28 433 7.18 1 0
5 169 1 0 0 0 29 451 1.86 0 0
6 169 1 0 0 0 3 36 2.98 0 0
7 169 1 0 0 0 18 277 2.23 0 0
8 169 1 0 0 0 25 396 1.85 0 0
9 169 1 0 0 0 13 197 2.97 0 0
10 169 1 0 0 0 3 35 3.14 0 0
11 169 1 0 0 0 29 463 2.0 0 0
12 169 1 0 0 0 25 398 1.43 0 0
13 169 1 0 0 0 22 347 6.7 1 0
14 169 1 0 0 0 2 25 1.89 0 0
15 169 1 0 0 0 18 285 2.27 0 0
16 169 1 0 0 0 1 8 1.95 0 0
17 169 1 0 0 0 13 198 2.65 0 0
18 169 1 0 0 0 10 155 1.73 0 0
19 169 1 0 0 0 20 307 1.87 0 0
20 169 1 0 0 0 23 362 7.17 1 0
21 169 1 0 0 0 6 85 7.32 1 0
22 169 1 0 0 0 30 472 2.55 0 0
23 169 1 0 0 0 24 373 7.32 1 0
24 169 1 0 0 0 15 240 2.57 0 0
25 169 1 0 0 0 4 56 3.02 0 0
26 169 1 0 0 0 17 266 2.6 0 0
27 169 1 0 0 0 15 230 3.4 0 0
28 169 1 0 0 0 20 315 2.75 0 0
29 169 1 0 0 0 27 420 7.61 1 0
30 169 1 0 0 0 1 6 3.17 0 0
31 169 1 0 0 0 9 139 1.74 0 0
32 169 1 0 0 0 2 18 1.84 0 0
33 169 1 0 0 0 30 465 2.7 0 0
34 169 1 0 0 0 1 10 3.15 0 0
35 169 1 0 0 0 15 228 3.15 0 0
36 169 1 0 0 0 25 397 1.77 0 0
37 169 1 0 0 0 3 37 3.08 0 0
38 169 1 0 0 0 4 64 2.52 0 0
39 169 1 0 0 0 17 259 2.5 0 0
40 169 1 0 0 0 4 59 1.99 0 0
41 169 1 0 0 0 10 158 2.59 0 0
42 169 1 0 0 0 13 205 3.26 0 0
43 169 1 0 0 0 9 140 2.97 0 0
44 169 1 0 0 0 18 280 2.15 0 0
45 169 1 0 0 0 7 112 7.03 1 0
46 169 1 0 0 0 7 106 7.66 1 0
47 169 1 0 0 0 29 464 1.93 0 0
48 169 1 0 0 0 10 160 2.19 0 0
49 169 1 0 0 0 17 263 2.59 0 0
50 169 1 0 0 0 2 17 1.92 0 0
1 155 2 1 0 0 29 452 1.8 0 1
2 155 2 1 0 0 2 26 2.76 0 1
3 155 2 1 0 0 23 365 6.57 1 1
4 155 2 1 0 0 3 42 2.84 0 1
5 155 2 1 0 0 24 382 6.86 1 1
6 155 2 1 0 0 28 447 7.79 1 1
7 155 2 1 0 0 4 62 2.95 0 1
8 155 2 1 0 0 29 459 1.82 0 1
9 155 2 1 0 0 30 466 2.9 0 1
10 155 2 1 0 0 17 261 2.14 0 1
11 155 2 1 0 0 29 456 1.5 0 1
12 155 2 1 0 0 7 99 7.24 1 1
13 155 2 1 0 0 2 29 2.68 0 1
14 155 2 1 0 0 13 202 3.09 0 1
15 155 2 1 0 0 15 227 2.67 0 1
16 155 2 1 0 0 9 129 3.25 0 1
17 155 2 1 0 0 4 60 2.6 0 1
18 155 2 1 0 0 30 467 1.95 0 1
19 155 2 1 0 0 7 107 7.11 1 1
20 155 2 1 0 0 6 86 8.01 1 1
21 155 2 1 0 0 1 3 3.17 0 1
22 155 2 1 0 0 25 385 1.43 0 1
23 155 2 1 0 0 9 141 3.12 0 1
24 155 2 1 0 0 1 9 2.49 0 1
25 155 2 1 0 0 20 314 1.94 0 1
26 155 2 1 0 0 9 142 3.22 0 1
27 155 2 1 0 0 25 391 1.73 0 1
28 155 2 1 0 0 10 154 2.88 0 1
29 155 2 1 0 0 18 284 1.92 0 1
30 155 2 1 0 0 2 24 2.31 0 1
31 155 2 1 0 0 18 279 1.97 0 1
32 155 2 1 0 0 10 152 1.38 0 1
33 155 2 1 0 0 15 238 3.31 0 1
34 155 2 1 0 0 13 207 3.11 0 1
35 155 2 1 0 0 1 4 3.18 0 1
36 155 2 1 0 0 17 269 2.8 0 1
37 155 2 1 0 0 18 287 2.19 0 1
38 155 2 1 0 0 13 206 3.41 0 1
39 155 2 1 0 0 10 149 3.02 0 1
40 155 2 1 0 0 28 445 7.58 1 1
