trial_index,subject_id,group,task,item_type,category_name,category,broad_category,image_png,image_id,distinct_rating,good_subj
6,90229,Group2,memory_phase,,Hornfels,14,M,M_Hornfels_14.png,222,2.3,True
8,90229,Group2,memory_phase,,Schist,19,M,M_Schist_04.png,292,3.63,True
10,90229,Group2,memory_phase,,Peridotite,8,I,I_Peridotite_03.png,115,5.71,True
12,90229,Group2,memory_phase,,Sandstone,29,S,S_Sandstone_13.png,461,2.94,True
14,90229,Group2,memory_phase,,Phyllite,17,M,M_Phyllite_11.png,267,3.56,True
16,90229,Group2,memory_phase,,Micrite,26,S,S_Micrite_14.png,414,2.42,True
18,90229,Group2,memory_phase,,Gabbro,4,I,I_Gabbro_06.png,54,3.26,True
20,90229,Group2,memory_phase,,Diorite,3,I,I_Diorite_02.png,34,4.9,True
22,90229,Group2,memory_phase,,Quartzite,18,M,M_Quartzite_14.png,286,3.3,True
24,90229,Group2,memory_phase,,Conglomerate,24,S,S_Conglomerate_05.png,373,7.32,True
26,90229,Group2,memory_phase,,Micrite,26,S,S_Micrite_05.png,405,8.21,True
28,90229,Group2,memory_phase,,Rhyolite,10,I,I_Rhyolite_14.png,158,2.59,True
30,90229,Group2,memory_phase,,Hornfels,14,M,M_Hornfels_13.png,221,3.2,True
32,90229,Group2,memory_phase,,Diorite,3,I,I_Diorite_11.png,43,3.36,True
34,90229,Group2,memory_phase,,Andesite,1,I,I_Andesite_10.png,10,3.15,True
36,90229,Group2,memory_phase,,Granite,5,I,I_Granite_14.png,78,4.29,True
38,90229,Group2,memory_phase,,Peridotite,8,I,I_Peridotite_08.png,120,4.77,True
40,90229,Group2,memory_phase,,Shale,30,S,S_Shale_06.png,470,4.11,True
42,90229,Group2,memory_phase,,Andesite,1,I,I_Andesite_05.png,5,3.32,True
44,90229,Group2,memory_phase,,Rock Salt,28,S,S_Rock Salt_01.png,433,7.18,True
46,90229,Group2,memory_phase,,Dolomite,25,S,S_Dolomite_02.png,386,5.49,True
48,90229,Group2,memory_phase,,Shale,30,S,S_Shale_07.png,471,2.73,True
