image_id,Broad_Category_Name,Category,Category_Name,Item,Distinct_Rating,image_png,Distinct_Type,Group1,Group2
85,I,6,Obsidian,5,7.32,I_Obsidian_05.png,Top,Target,Foil
106,I,7,Pegmatite,10,7.66,I_Pegmatite_10.png,Top,Target,Foil
112,I,7,Pegmatite,16,7.03,I_Pegmatite_16.png,Top,Target,Foil
347,S,22,Breccia,11,6.7,S_Breccia_11.png,Top,Target,Foil
362,S,23,Chert,10,7.17,S_Chert_10.png,Top,Target,Foil
373,S,24,Conglomerate,5,7.32,S_Conglomerate_05.png,Top,Target,Foil
420,S,27,Rock Gypsum,4,7.61,S_Rock Gypsum_04.png,Top,Target,Foil
433,S,28,Rock Salt,1,7.18,S_Rock Salt_01.png,Top,Target,Foil
6,I,1,Andesite,6,3.17,I_Andesite_06.png,Bottom,Target,Foil
10,I,1,Andesite,10,3.15,I_Andesite_10.png,Bottom,Target,Foil
8,I,1,Andesite,8,1.95,I_Andesite_08.png,Bottom,Target,Foil
17,I,2,Basalt,1,1.92,I_Basalt_01.png,Bottom,Target,Foil
25,I,2,Basalt,9,1.8900000000000001,I_Basalt_09.png,Bottom,Target,Foil
18,I,2,Basalt,2,1.84,I_Basalt_02.png,Bottom,Target,Foil
35,I,3,Diorite,3,3.14,I_Diorite_03.png,Bottom,Target,Foil
37,I,3,Diorite,5,3.08,I_Diorite_05.png,Bottom,Target,Foil
36,I,3,Diorite,4,2.98,I_Diorite_04.png,Bottom,Target,Foil
56,I,4,Gabbro,8,3.02,I_Gabbro_08.png,Bottom,Target,Foil
64,I,4,Gabbro,16,2.52,I_Gabbro_16.png,Bottom,Target,Foil
59,I,4,Gabbro,11,1.99,I_Gabbro_11.png,Bottom,Target,Foil
136,I,9,Pumice,8,3.1,I_Pumice_08.png,Bottom,Target,Foil
140,I,9,Pumice,12,2.97,I_Pumice_12.png,Bottom,Target,Foil
139,I,9,Pumice,11,1.74,I_Pumice_11.png,Bottom,Target,Foil
158,I,10,Rhyolite,14,2.59,I_Rhyolite_14.png,Bottom,Target,Foil
160,I,10,Rhyolite,16,2.19,I_Rhyolite_16.png,Bottom,Target,Foil
155,I,10,Rhyolite,11,1.73,I_Rhyolite_11.png,Bottom,Target,Foil
205,M,13,Gneiss,13,3.26,M_Gneiss_13.png,Bottom,Target,Foil
197,M,13,Gneiss,5,2.97,M_Gneiss_05.png,Bottom,Target,Foil
198,M,13,Gneiss,6,2.65,M_Gneiss_06.png,Bottom,Target,Foil
230,M,15,Marble,6,3.4,M_Marble_06.png,Bottom,Target,Foil
228,M,15,Marble,4,3.15,M_Marble_04.png,Bottom,Target,Foil
240,M,15,Marble,16,2.57,M_Marble_16.png,Bottom,Target,Foil
266,M,17,Phyllite,10,2.6,M_Phyllite_10.png,Bottom,Target,Foil
263,M,17,Phyllite,7,2.59,M_Phyllite_07.png,Bottom,Target,Foil
259,M,17,Phyllite,3,2.5,M_Phyllite_03.png,Bottom,Target,Foil
285,M,18,Quartzite,13,2.27,M_Quartzite_13.png,Bottom,Target,Foil
277,M,18,Quartzite,5,2.23,M_Quartzite_05.png,Bottom,Target,Foil
280,M,18,Quartzite,8,2.15,M_Quartzite_08.png,Bottom,Target,Foil
