image_id,Broad_Category_Name,Category,Category_Name,Item,Distinct_Rating,Group1,Group2,image_png
7,I,1,Andesite,7,4.81,Target,Foil,I_Andesite_07.png
14,I,1,Andesite,14,4.47,Foil,Target,I_Andesite_14.png
2,I,1,Andesite,2,3.93,Target,Foil,I_Andesite_02.png
12,I,1,Andesite,12,3.75,Foil,Target,I_Andesite_12.png
11,I,1,Andesite,11,3.35,Target,Foil,I_Andesite_11.png
5,I,1,Andesite,5,3.32,Foil,Target,I_Andesite_05.png
6,I,1,Andesite,6,3.17,Target,Foil,I_Andesite_06.png
10,I,1,Andesite,10,3.15,Foil,Target,I_Andesite_10.png
28,I,2,Basalt,12,4.08,Foil,Target,I_Basalt_12.png
31,I,2,Basalt,15,4.03,Target,Foil,I_Basalt_15.png
27,I,2,Basalt,11,3.11,Foil,Target,I_Basalt_11.png
19,I,2,Basalt,3,2.94,Target,Foil,I_Basalt_03.png
21,I,2,Basalt,5,2.55,Foil,Target,I_Basalt_05.png
20,I,2,Basalt,4,2.47,Target,Foil,I_Basalt_04.png
22,I,2,Basalt,6,2.08,Foil,Target,I_Basalt_06.png
17,I,2,Basalt,1,1.92,Target,Foil,I_Basalt_01.png
40,I,3,Diorite,8,4.94,Target,Foil,I_Diorite_08.png
34,I,3,Diorite,2,4.9,Foil,Target,I_Diorite_02.png
45,I,3,Diorite,13,4.58,Target,Foil,I_Diorite_13.png
41,I,3,Diorite,9,4.38,Foil,Target,I_Diorite_09.png
44,I,3,Diorite,12,3.55,Target,Foil,I_Diorite_12.png
43,I,3,Diorite,11,3.36,Foil,Target,I_Diorite_11.png
47,I,3,Diorite,15,3.05,Target,Foil,I_Diorite_15.png
36,I,3,Diorite,4,2.98,Foil,Target,I_Diorite_04.png
55,I,4,Gabbro,7,4.29,Foil,Target,I_Gabbro_07.png
52,I,4,Gabbro,4,4.1,Target,Foil,I_Gabbro_04.png
51,I,4,Gabbro,3,3.48,Foil,Target,I_Gabbro_03.png
57,I,4,Gabbro,9,3.48,Target,Foil,I_Gabbro_09.png
54,I,4,Gabbro,6,3.26,Foil,Target,I_Gabbro_06.png
58,I,4,Gabbro,10,3.11,Target,Foil,I_Gabbro_10.png
50,I,4,Gabbro,2,2.73,Foil,Target,I_Gabbro_02.png
60,I,4,Gabbro,12,2.6,Target,Foil,I_Gabbro_12.png
73,I,5,Granite,9,5.38,Target,Foil,I_Granite_09.png
65,I,5,Granite,1,5.23,Foil,Target,I_Granite_01.png
74,I,5,Granite,10,4.34,Target,Foil,I_Granite_10.png
78,I,5,Granite,14,4.29,Foil,Target,I_Granite_14.png
75,I,5,Granite,11,4.03,Target,Foil,I_Granite_11.png
72,I,5,Granite,8,3.95,Foil,Target,I_Granite_08.png
70,I,5,Granite,6,3.73,Target,Foil,I_Granite_06.png
67,I,5,Granite,3,3.6,Foil,Target,I_Granite_03.png
86,I,6,Obsidian,6,8.01,Foil,Target,I_Obsidian_06.png
85,I,6,Obsidian,5,7.32,Target,Foil,I_Obsidian_05.png
95,I,6,Obsidian,15,6.67,Foil,Target,I_Obsidian_15.png
82,I,6,Obsidian,2,6.06,Target,Foil,I_Obsidian_02.png
92,I,6,Obsidian,12,5.7,Foil,Target,I_Obsidian_12.png
84,I,6,Obsidian,4,5.67,Target,Foil,I_Obsidian_04.png
94,I,6,Obsidian,14,5.17,Foil,Target,I_Obsidian_14.png
93,I,6,Obsidian,13,4.85,Target,Foil,I_Obsidian_13.png
106,I,7,Pegmatite,10,7.66,Target,Foil,I_Pegmatite_10.png
99,I,7,Pegmatite,3,7.24,Foil,Target,I_Pegmatite_03.png
112,I,7,Pegmatite,16,7.03,Target,Foil,I_Pegmatite_16.png
111,I,7,Pegmatite,15,7.02,Foil,Target,I_Pegmatite_15.png
105,I,7,Pegmatite,9,6.37,Target,Foil,I_Pegmatite_09.png
101,I,7,Pegmatite,5,6.22,Foil,Target,I_Pegmatite_05.png
108,I,7,Pegmatite,12,5.15,Target,Foil,I_Pegmatite_12.png
109,I,7,Pegmatite,13,5.15,Foil,Target,I_Pegmatite_13.png
125,I,8,Peridotite,13,7.28,Foil,Target,I_Peridotite_13.png
116,I,8,Peridotite,4,6.39,Target,Foil,I_Peridotite_04.png
115,I,8,Peridotite,3,5.71,Foil,Target,I_Peridotite_03.png
121,I,8,Peridotite,9,5.71,Target,Foil,I_Peridotite_09.png
120,I,8,Peridotite,8,4.77,Foil,Target,I_Peridotite_08.png
122,I,8,Peridotite,10,4.64,Target,Foil,I_Peridotite_10.png
126,I,8,Peridotite,14,3.64,Foil,Target,I_Peridotite_14.png
123,I,8,Peridotite,11,3.59,Target,Foil,I_Peridotite_11.png
137,I,9,Pumice,9,5.5,Target,Foil,I_Pumice_09.png
144,I,9,Pumice,16,5.37,Foil,Target,I_Pumice_16.png
143,I,9,Pumice,15,4.18,Target,Foil,I_Pumice_15.png
134,I,9,Pumice,6,4.16,Foil,Target,I_Pumice_06.png
131,I,9,Pumice,3,3.41,Target,Foil,I_Pumice_03.png
133,I,9,Pumice,5,3.37,Foil,Target,I_Pumice_05.png
141,I,9,Pumice,13,3.12,Target,Foil,I_Pumice_13.png
136,I,9,Pumice,8,3.1,Foil,Target,I_Pumice_08.png
150,I,10,Rhyolite,6,5.0,Foil,Target,I_Rhyolite_06.png
157,I,10,Rhyolite,13,4.83,Target,Foil,I_Rhyolite_13.png
148,I,10,Rhyolite,4,3.73,Foil,Target,I_Rhyolite_04.png
156,I,10,Rhyolite,12,3.68,Target,Foil,I_Rhyolite_12.png
146,I,10,Rhyolite,2,3.26,Foil,Target,I_Rhyolite_02.png
149,I,10,Rhyolite,5,3.02,Target,Foil,I_Rhyolite_05.png
158,I,10,Rhyolite,14,2.59,Foil,Target,I_Rhyolite_14.png
160,I,10,Rhyolite,16,2.19,Target,Foil,I_Rhyolite_16.png
